#Angle	Number of simplices
1	119969
2	340
3	251
4	261
5	208
6	223
7	195
8	216
9	178
10	166
11	155
12	146
13	177
14	141
15	137
16	162
17	136
18	129
19	98
20	115
21	104
22	85
23	99
24	76
25	108
26	77
27	55
28	79
29	60
30	50
31	42
32	38
33	52
34	43
35	38
36	31
37	31
38	37
39	35
40	27
41	32
42	28
43	27
44	31
45	27
46	10
47	7
48	19
49	10
50	4
51	7
52	6
53	3
54	3
55	0
56	4
57	0
58	2
59	0
60	2
61	1
62	3
63	2
64	1
65	0
66	2
67	2
68	1
69	0
70	0
71	0
72	1
73	0
74	0
75	1
76	2
77	0
78	2
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
