cg0MS1,cg1MS1,cg0MS1,cg1MS1
0,0,0.0237538,0.246552
0,0,0.0237538,0.246552
0,0,0.0237538,0.246552
0,0,0.0237538,0.246552
0,0,0.0237538,0.246552
0,0,0.0237538,0.246552
0,0,0.0237538,0.246552
0,0,0.0237538,0.246552
0,0,0.0237538,0.246552
0,0,0.0237538,0.246552
0,0,0.0237538,0.246552
0,0,0.0237538,0.246552
0,0,0.033598,1.3378
0,0,0.0365104,1.46876
0,2,0.0329643,0.969453
0,0,0.0399442,0.287712
0,0,0.038035,0.0715546
0,0,0.034452,0.678221
0,0,0.0276259,1.11995
0,0,0.0390917,1.22541
0,0,0.0293705,0.728218
0,0,0.0410486,0.190224
0,0,0.0323409,0.337225
0,0,0.0365505,0.871134
0,0,0.0461795,0.102289
0,0,0.0310827,0.668693
0,0,0.0301616,0.0285011
0,0,0.0401044,0.301869
0,0,0.0327124,0.0327124
0,0,0.0305003,0.0308766
0,0,0.0439188,0.0439188
0,0,0.0411897,0.0411897
0,0,0.0266533,0.0315818
0,2,0.0395171,37.9578
0,0,0.0327678,0.0327678
0,0,0.0325529,0.21395
0,2,0.0560905,0.127304
0,0,0.0301552,8.34383
0,0,0.028258,0.0673483
0,0,0.0472318,0.178673
0,0,0.0263738,0.0680047
2,2,0.0307887,0.0307887
0,0,0.0360474,3.75542
0,0,0.0357284,0.030614
0,0,0.837145,0.836221
0,0,0.0448889,0.0458501
0,0,0.0263208,0.0274269
0,4,0.0305057,0.0299309
0,0,1.0454,1.0454
0,0,0.037538,0.0323457
0,0,0.0297524,0.303582
0,0,0.0665013,0.347123
0,0,0.0297251,1.29144
0,0,0.0352777,1.07877
0,2,0.0440276,0.858826
0,0,0.0292637,2.23623
4,7,0.0268737,0.0268737
0,0,0.0651339,0.0613455
0,0,0.0216428,0.0249319
0,0,0.0326344,0.0326344
0,0,0.0331336,1.47703
0,0,0.030439,0.030439
0,0,0.0299635,3.55006
0,2,0.0689131,11.1902
0,0,0.0373076,1.15188
0,0,0.0264636,2.04787
0,0,0.0351355,9.1721
0,0,0.0299115,1.10362
0,0,0.0286401,1.24047
0,0,0.0485441,2.71005
0,0,0.0244021,4.0711
0,0,0.0297909,0.0297909
0,0,0,0.0787816
0,0,0.0253808,1.50696
0,0,0.0279007,0.198301
0,0,0.00510061,0.00572901
0,0,0.0465523,0.235716
0,0,0.0268702,1.50696
0,0,0,0.0787816
0,0,0.0271257,1.50696
0,0,0.0465523,0.237052
0,0,0.00510061,0.00506428
0,0,0.0279007,0.286624
0,0,0.0253808,13.5871
0,0,0.0340737,6.1682
0,0,0.028532,1.2922
0,0,0.0341986,3.99984
0,0,0.0365238,0.034734
0,0,0.0357279,0.351816
0,0,0.0267334,1.84336
0,0,0.0300393,1.0232
0,0,0.0284623,1.95936
0,0,0.0286785,15.1326
0,0,0.0548058,3.39575
0,0,0.02654,3.35184
0,0,0.0299762,0.124928
0,0,0.03126,0.0722956
0,0,0.0276541,0.0276541
0,0,0.0334457,0.0334457
0,0,0.0328075,0.0328075
0,0,0.0305506,0.0329211
0,0,0.0286109,0.0299842
0,0,0.0361369,14.5227
0,0,0.0315398,2.43797
0,0,0.0264868,0.403989
0,0,0.0306431,0.25588
0,0,0.0248898,0.0243495
0,0,0.0304999,0.0328261
0,2,0.171557,0.171557
0,0,0.0308312,0.0263674
0,0,0.026827,0.0274543
0,0,0.0422106,0.0447387
0,0,0.0279074,0.02756
0,0,0.0263223,0.167059
0,0,0.0359434,12.8542
2,2,0.0351324,0.6591
0,0,0.027725,0.0271798
0,0,0.0264121,0.0383977
0,0,0.021289,0.021289
0,0,0.0294989,0.0294989
0,0,0.0274448,0.0287742
2,2,0.85573,0.85325
0,0,0.0312953,0.0312953
0,1,0.0335893,0.0339121
0,0,0.0341047,0.0351808
0,0,0.0297482,0.236862
0,0,0.0355825,12.5994
0,0,0.0324419,1.73054
0,0,0.0288813,3.44043
0,0,0.0339818,0.220591
0,0,0.432763,0.433561
0,0,0.029668,1.33703
0,0,0.029302,1.33735
0,0,0.0361678,0.892273
0,0,0.035754,0.287692
0,0,0.0294081,0.700099
0,0,0.0310455,0.875313
0,0,0.0332122,2.30741
0,0,0.0311376,2.3078
0,0,0.0308455,1.57497
0,0,0.0386392,1.45357
0,2,0.0311618,2.08363
0,1,0.0290332,1.56135
